t,amo,soi,temp,trf,volc
1866-01-01,0.205083333,-0.025,0.058266667,0.15596621,0.21907859
1867-01-01,0.143583333,-0.008333333,-0.010733333,0.1505226,0.22901714
1868-01-01,0.155916667,-0.138333333,0.072266667,0.17369163,0.23107339
1869-01-01,0.097083333,0.0625,0.041266667,0.21785672,0.22284839
1870-01-01,0.02,-0.026666667,0.028266667,0.25113271,0.21873589
1871-01-01,0.033166667,-0.028333333,-0.029733333,0.24939782,0.2194213
1872-01-01,0.095416667,0.311666667,0.076266667,0.21568884,0.2070838
1873-01-01,0.05,0.021666667,0.000266667,0.17641352,0.19337547
1874-01-01,-0.019,0.101666667,-0.070733333,0.15247698,0.20125776
1875-01-01,0.036916667,0.025833333,-0.093733333,0.13840011,0.19406089
1876-01-01,-0.020416667,0.064166667,-0.076733333,0.13537358,0.15293589
1877-01-01,0.243,-0.264166667,0.227266667,0.14450085,0.14848068
1878-01-01,0.45425,0.020833333,0.338266667,0.15385686,0.18035255
1879-01-01,0.126833333,0.196666667,0.071266667,0.16630282,0.20194318
1880-01-01,0.063916667,0.118333333,0.074266667,0.18430345,0.21565151
1881-01-01,0.043666667,-0.098333333,0.097266667,0.20635684,0.22284839
1882-01-01,-0.024666667,-0.095,0.088266667,0.22869478,0.11112547
1883-01-01,-0.031666667,-0.068333333,0.008266667,0.23900169,-0.80253495
1884-01-01,-0.07525,-0.075833333,-0.104733333,0.2355262,-1.5373016
1885-01-01,-0.023833333,-0.1075,-0.087733333,0.22513465,-0.94407349
1886-01-01,0.123333333,0.11,-0.065733333,0.21270866,-0.44851724
1887-01-01,0.121416667,0.083333333,-0.115733333,0.20415727,-0.32137245
1888-01-01,0.195166667,-0.180833333,-0.008733333,0.194421424,-0.21102036
1889-01-01,0.19775,0.0025,0.130266667,0.19299621,-0.27750578
1890-01-01,-0.14475,0.096666667,-0.115733333,0.20816783,-0.3316537
1891-01-01,0.034416667,-0.045,-0.034733333,0.23357291,-0.2617412
1892-01-01,-0.091833333,0.058333333,-0.153733333,0.259100135,-0.087645365
1893-01-01,-0.005833333,0.146666667,-0.170733333,0.280305303,0.060061927
1894-01-01,-0.244166667,0.045,-0.102733333,0.28916082,0.16938589
1895-01-01,-0.095083333,-0.0475,-0.089733333,0.27311987,0.1618463
1896-01-01,0.106166667,-0.149166667,0.114266667,0.246371061,0.016537969
1897-01-01,0.109333333,-0.1025,0.092266667,0.227849966,-0.064683906
1898-01-01,0.073666667,0.0925,-0.112733333,0.220913445,0.037785885
1899-01-01,0.126916667,0.033333333,0.012266667,0.21745341,0.15053693
1900/1/1,0.096583333,-0.123333333,0.103266667,0.21281463,0.20194318
1901/1/1,0.087833333,-0.004166667,0.038266667,0.20682824,0.19166193
1902/1/1,-0.102166667,1.62E-18,-0.103733333,0.215273054,-0.25694328
1903/1/1,-0.19325,0.06,-0.181733333,0.24768873,-0.65105786
1904/1/1,-0.348,0.059166667,-0.222733333,0.274627355,-0.3563287
1905/1/1,-0.202833333,-0.330833333,-0.078733333,0.282935001,0.002144219
1906/1/1,-0.0735,0.035,0.015266667,0.2895572,0.1001588
1907/1/1,-0.227166667,-0.029166667,-0.166733333,0.293330591,0.076169219
1908/1/1,-0.13,0.045,-0.212733333,0.298821448,0.087821302
1909/1/1,-0.137083333,0.035833333,-0.226733333,0.29861596,0.15396401
1910/1/1,-0.2475,0.201666667,-0.190733333,0.28514719,0.18892026
1911/1/1,-0.213333333,-0.099166667,-0.243733333,0.27993548,0.19508901
1912/1/1,-0.22775,-0.163333333,-0.136733333,0.286449065,-0.048576615
1913/1/1,-0.38725,-0.116666667,-0.124733333,0.29942194,-0.15652974
1914/1/1,-0.289583333,-0.12,0.055266667,0.332319431,0.055606719
1915/1/1,0.094166667,-0.001666667,0.152266667,0.38539931,0.15944734
1916/1/1,-0.075583333,0.095833333,-0.084733333,0.4319167,0.18754943
1917/1/1,-0.278666667,0.3275,-0.163733333,0.45896284,0.19611714
1918/1/1,-0.259666667,0.009166667,-0.031733333,0.46060663,0.20194318
1919/1/1,-0.1855,-0.180833333,0.028266667,0.44587936,0.1947463
1920/1/1,-0.3345,0.011666667,0.057266667,0.42782497,0.11078276
1921/1/1,-0.2195,0.105,0.116266667,0.418204746,0.095703594
1922/1/1,-0.319416667,0.061666667,0.001266667,0.41813607,0.18103797
1923/1/1,-0.32325,-0.056666667,0.031266667,0.41655561,0.20228589
1924/1/1,-0.151666667,0.059166667,0.010266667,0.43234256,0.18926297
1925/1/1,-0.158416667,-0.035833333,0.090266667,0.46763755,0.18926297
1926/1/1,0.086666667,-0.0825,0.197266667,0.50410005,0.19714526
1927/1/1,0.111083333,0.039166667,0.093266667,0.52616211,0.19508901
1928/1/1,-0.004583333,0.0775,0.095266667,0.52888966,0.14573901
1929/1/1,-0.110166667,0.089166667,-0.046733333,0.527966588,0.096046302
1930/1/1,0.01225,0.004166667,0.167266667,0.53076951,0.12174943
1931/1/1,0.179916667,0.036666667,0.220266667,0.53210407,0.14642443
1932/1/1,0.230083333,-0.1,0.169266667,0.53025506,0.11489526
1933/1/1,0.19425,0.008333333,0.034266667,0.53304044,0.12380568
1934/1/1,-0.00625,-0.010833333,0.177266667,0.55487467,0.16218901
1935/1/1,0.01925,0.026666667,0.130266667,0.60391109,0.16938589
1936/1/1,0.151583333,-0.029166667,0.162266667,0.65085595,0.18069526
1937/1/1,0.294833333,0.003333333,0.279266667,0.66572568,0.17932443
1938/1/1,0.242083333,0.134166667,0.300266667,0.67038886,0.16321714
1939/1/1,0.109916667,-0.000833333,0.256266667,0.67360961,0.16390255
1940/1/1,-0.029,-0.225,0.323266667,0.66460418,0.18377964
1941/1/1,0.1745,-0.230833333,0.324266667,0.64762015,0.19303276
1942/1/1,0.18375,-0.0025,0.280266667,0.62493671,0.17144214
1943/1/1,0.033083333,0.059166667,0.304266667,0.60660898,0.16630151
1944/1/1,0.348916667,-0.043333333,0.455266667,0.61223493,0.18926297
1945/1/1,0.2195,0.07,0.333266667,0.64023794,0.19988693
1946/1/1,0.0185,-0.120833333,0.233266667,0.66726398,0.2070838
1947/1/1,-0.086,0.025833333,0.263266667,0.69061092,0.1988588
1948/1/1,0.011333333,-0.045,0.266266667,0.70206277,0.19680255
1949/1/1,0.090333333,-0.029166667,0.232266667,0.68925784,0.18926297
1950/1/1,-0.009916667,0.235833333,0.131266667,0.65477495,0.18686401
1951/1/1,0.201333333,-0.1,0.251266667,0.61071719,0.1906338
1952/1/1,0.292583333,-0.049166667,0.333266667,0.58184491,0.18446505
1953/1/1,0.262166667,-0.121666667,0.400266667,0.57054912,0.17555464
1954/1/1,0.04075,0.0375,0.171266667,0.57410981,0.18069526
1955/1/1,0.190166667,0.148333333,0.113266667,0.61240496,0.2029713
1956/1/1,-0.021666667,0.1575,0.038266667,0.68378976,0.2153088
1957/1/1,0.037916667,-0.075833333,0.298266667,0.74120963,0.22559005
1958/1/1,0.2115,-0.079166667,0.349266667,0.75171766,0.23073068
1959/1/1,0.050083333,-0.018333333,0.319266667,0.7418717,0.22696089
1960/1/1,0.2325,0.049166667,0.254266667,0.72829575,0.15190776
1961/1/1,0.096916667,-0.008333333,0.342266667,0.690819286,0.060747344
1962/1/1,0.069166667,0.058333333,0.319266667,0.659114213,-0.013963073
1963/1/1,0.001416667,-0.0525,0.351266667,0.65752158,-0.49546828
1964/1/1,-0.098583333,0.07,0.081266667,0.66758384,-0.85325578
1965/1/1,-0.162666667,-0.139166667,0.162266667,0.69515586,-0.53248078
1966/1/1,0.001,-0.0875,0.233266667,0.74336256,-0.15001828
1967/1/1,-0.101333333,0.046666667,0.227266667,0.790258126,-0.021502656
1968/1/1,-0.170583333,0.030833333,0.190266667,0.82947216,-0.22027349
1969/1/1,0.005666667,-0.113333333,0.333266667,0.87167206,-0.29635474
1970/1/1,-0.107083333,0.041666667,0.276266667,0.902832821,-0.055430781
1971/1/1,-0.316333333,0.165833333,0.117266667,0.92281026,0.11420984
1972/1/1,-0.358083333,-0.135833333,0.235266667,0.94416081,0.15327859
1973/1/1,-0.220666667,0.095833333,0.367266667,0.95612125,0.10632755
1974/1/1,-0.425666667,0.1625,0.091266667,0.956064833,-0.040694323
1975/1/1,-0.304166667,0.206666667,0.157266667,0.96287759,-0.14110786
1976/1/1,-0.36925,0.014166667,0.063266667,0.995084406,-0.017390156
1977/1/1,-0.194666667,-0.1675,0.348266667,1.06474197,0.13408693
1978/1/1,-0.185333333,-0.059166667,0.240266667,1.16676448,0.10906922
1979/1/1,-0.115833333,-0.0175,0.359266667,1.262200448,0.093990052
1980/1/1,-0.023666667,-0.061666667,0.395266667,1.31792603,0.14813797
1981/1/1,-0.081666667,0.000833333,0.443266667,1.328165098,0.079596302
1982/1/1,-0.2175,-0.213333333,0.315266667,1.30620282,-0.59142661
1983/1/1,-0.0755,-0.184166667,0.496266667,1.28498363,-0.87621724
1984/1/1,-0.2125,-0.02,0.290266667,1.27187882,-0.32000161
1985/1/1,-0.271583333,0.0075,0.274266667,1.274539598,-0.023216198
1986/1/1,-0.279083333,-0.065833333,0.349266667,1.307321081,0.035044219
1987/1/1,0.062333333,-0.218333333,0.494266667,1.369395231,0.065887969
1988/1/1,-0.009166667,0.115,0.504266667,1.47010256,0.10598484
1989/1/1,-0.086666667,0.091666667,0.424266667,1.57132579,0.12928901
1990/1/1,-0.042083333,-0.065,0.600266667,1.61908826,0.12654734
1991/1/1,-0.135583333,-0.1525,0.557266667,1.62161317,-0.81487245
1992/1/1,-0.222833333,-0.200833333,0.408266667,1.60291986,-1.4197527
1993/1/1,-0.214,-0.165833333,0.448266667,1.57903911,-0.68190161
1994/1/1,-0.180083333,-0.2,0.509266667,1.56831303,-0.13151203
1995/1/1,0.131833333,-0.0475,0.624266667,1.582520706,0.058691094
1996/1/1,-0.061,0.0825,0.485266667,1.61407202,0.12380568
1997/1/1,0.048916667,-0.1775,0.692266667,1.66238821,0.15327859
1998/1/1,0.369583333,-0.051666667,0.839266667,1.73666387,0.18754943
1999/1/1,0.115166667,0.121666667,0.610266667,1.81688497,0.21633693
2000/1/1,0.025666667,0.1175,0.598266667,1.86751597,0.22867443
2001/1/1,0.1165,0.000833333,0.743266667,1.89553668,0.23244422
2002/1/1,0.062666667,-0.101666667,0.799266667,1.91291528,0.23244422
2003/1/1,0.228666667,-0.061666667,0.812266667,1.90545438,0.23244422
2004/1/1,0.20425,-0.09,0.753266667,1.89337368,0.23244422
2005/1/1,0.29,-0.079166667,0.847266667,1.89943276,0.18401834
2006/1/1,0.26525,-0.0375,0.808266667,1.92151677,0.06779623
2007/1/1,0.14625,0.006666667,0.796266667,1.9504606,0
2008/1/1,0.137083333,0.178333333,0.698266667,1.9852634,0
2009/1/1,0.03825,-0.011666667,0.809266667,2.0765681,0
2010/1/1,0.348916667,0.1325,0.862266667,2.1976523,0
2011/1/1,0.101666667,0.228333333,0.725266667,2.2829824,0
2012/1/1,0.213333333,-0.019166667,0.773266667,2.3429852,0
2013/1/1,0.1665,0.041666667,0.802266667,2.374454,0
2014/1/1,0.10225,-0.068333333,0.870266667,2.376194,0
2015/1/1,0.11475,-0.191666667,1.049266667,2.3760599,0
