t,hurricanes,storms
1851-01-01,3,6
1852-01-01,5,5
1853-01-01,4,8
1854-01-01,3,5
1855-01-01,4,5
1856-01-01,4,6
1857-01-01,3,4
1858-01-01,6,6
1859-01-01,7,8
1860-01-01,6,7
1861-01-01,6,8
1862-01-01,3,6
1863-01-01,5,9
1864-01-01,3,5
1865-01-01,3,7
1866-01-01,6,7
1867-01-01,7,9
1868-01-01,3,4
1869-01-01,7,10
1870-01-01,10,11
1871-01-01,6,8
1872-01-01,4,5
1873-01-01,3,5
1874-01-01,4,7
1875-01-01,5,6
1876-01-01,4,5
1877-01-01,3,8
1878-01-01,10,12
1879-01-01,6,8
1880-01-01,9,11
1881-01-01,4,7
1882-01-01,4,6
1883-01-01,3,4
1884-01-01,4,4
1885-01-01,6,8
1886-01-01,10,12
1887-01-01,11,19
1888-01-01,6,9
1889-01-01,6,9
1890-01-01,2,4
1891-01-01,7,10
1892-01-01,5,9
1893-01-01,10,12
1894-01-01,5,7
1895-01-01,2,6
1896-01-01,6,7
1897-01-01,3,6
1898-01-01,5,11
1899-01-01,5,10
1900-01-01,3,7
1901-01-01,6,13
1902-01-01,3,5
1903-01-01,7,10
1904-01-01,4,6
1905-01-01,1,5
1906-01-01,6,11
1907-01-01,0,5
1908-01-01,6,10
1909-01-01,6,12
1910-01-01,3,5
1911-01-01,3,6
1912-01-01,4,7
1913-01-01,4,6
1914-01-01,0,1
1915-01-01,5,6
1916-01-01,10,15
1917-01-01,2,4
1918-01-01,4,6
1919-01-01,2,5
1920-01-01,4,5
1921-01-01,5,7
1922-01-01,3,5
1923-01-01,4,9
1924-01-01,5,11
1925-01-01,1,4
1926-01-01,8,11
1927-01-01,4,8
1928-01-01,4,6
1929-01-01,3,5
1930-01-01,2,3
1931-01-01,3,13
1932-01-01,6,15
1933-01-01,11,20
1934-01-01,7,13
1935-01-01,5,8
1936-01-01,7,17
1937-01-01,4,11
1938-01-01,4,9
1939-01-01,3,6
1940-01-01,6,9
1941-01-01,4,6
1942-01-01,4,11
1943-01-01,5,10
1944-01-01,8,14
1945-01-01,5,11
1946-01-01,3,7
1947-01-01,5,10
1948-01-01,6,10
1949-01-01,7,16
1950-01-01,11,16
1951-01-01,8,12
1952-01-01,5,11
1953-01-01,7,14
1954-01-01,7,16
1955-01-01,9,13
1956-01-01,4,12
1957-01-01,3,8
1958-01-01,7,12
1959-01-01,7,14
1960-01-01,4,8
1961-01-01,8,11
1962-01-01,3,5
1963-01-01,7,9
1964-01-01,6,12
1965-01-01,4,6
1966-01-01,7,11
1967-01-01,6,8
1968-01-01,4,8
1969-01-01,12,18
1970-01-01,5,10
1971-01-01,6,13
1972-01-01,3,7
1973-01-01,4,8
1974-01-01,4,11
1975-01-01,6,9
1976-01-01,6,10
1977-01-01,5,6
1978-01-01,5,12
1979-01-01,5,9
1980-01-01,9,11
1981-01-01,7,12
1982-01-01,2,6
1983-01-01,3,4
1984-01-01,5,13
1985-01-01,7,11
1986-01-01,4,6
1987-01-01,3,7
1988-01-01,5,12
1989-01-01,7,11
1990-01-01,8,14
1991-01-01,4,8
1992-01-01,4,7
1993-01-01,4,8
1994-01-01,3,7
1995-01-01,11,19
1996-01-01,9,13
1997-01-01,3,8
1998-01-01,10,14
1999-01-01,8,12
2000-01-01,8,15
2001-01-01,9,15
2002-01-01,4,12
2003-01-01,7,16
2004-01-01,9,15
2005-01-01,15,28
2006-01-01,5,10
2007-01-01,6,15
2008-01-01,8,16
2009-01-01,3,9
2010-01-01,12,19
2011-01-01,7,19
2012-01-01,10,19
2013-01-01,2,14
2014-01-01,6,8
2015-01-01,4,11
2016-01-01,7,15
2017-01-01,10,17
