t,rainfall
2003-01-01,189.00
2003-02-01,152.00
2003-03-01,22.00
2003-04-01,53.00
2003-05-01,20.00
2003-06-01,1.00
2003-07-01,0.00
2003-08-01,33.50
2003-09-01,142.50
2003-10-01,96.50
2003-11-01,108.00
2003-12-01,315.00
2004-01-01,167.50
2004-02-01,33.00
2004-03-01,89.00
2004-04-01,21.00
2004-05-01,0.00
2004-06-01,4.00
2004-07-01,5.00
2004-08-01,0.00
2004-09-01,57.50
2004-10-01,73.00
2004-11-01,164.50
2004-12-01,267.00
2005-01-01,125.30
2005-02-01,122.00
2005-03-01,94.00
2005-04-01,41.00
2005-05-01,5.00
2005-06-01,3.00
2005-07-01,0.00
2005-08-01,2.00
2005-09-01,82.00
2005-10-01,24.00
2005-11-01,221.00
2005-12-01,223.00
2006-01-01,121.50
2006-02-01,101.00
2006-03-01,75.00
2006-04-01,113.00
2006-05-01,0.00
2006-06-01,6.00
2006-07-01,0.00
2006-08-01,42.00
2006-09-01,130.00
2006-10-01,60.00
2006-11-01,48.00
2006-12-01,90.00
2007-01-01,41.00
2007-02-01,113.00
2007-03-01,71.00
2007-04-01,39.50
2007-05-01,19.50
2007-06-01,17.00
2007-07-01,0.00
2007-08-01,1.00
2007-09-01,30.00
2007-10-01,95.00
2007-11-01,89.50
2007-12-01,135.00
2008-01-01,79.00
2008-02-01,47.00
2008-03-01,92.50
2008-04-01,46.50
2008-05-01,16.00
2008-06-01,4.00
2008-07-01,0.00
2008-08-01,0.00
2008-09-01,25.00
2008-10-01,28.50
2008-11-01,173.00
2008-12-01,82.50
2009-01-01,242.50
2009-02-01,114.50
2009-03-01,107.00
2009-04-01,91.00
2009-05-01,12.00
2009-06-01,22.50
2009-07-01,0.00
2009-08-01,0.00
2009-09-01,79.00
2009-10-01,92.50
2009-11-01,190.00
2009-12-01,132.00
2010-01-01,106.00
2010-02-01,64.00
2010-03-01,119.50
2010-04-01,5.00
2010-05-01,32.00
2010-06-01,13.00
2010-07-01,0.00
2010-08-01,0.00
2010-09-01,80.00
2010-10-01,105.90
2010-11-01,54.80
2010-12-01,35.70
2011-01-01,80.00
2011-02-01,54.00
2011-03-01,59.50
2011-04-01,38.90
2011-05-01,12.20
2011-06-01,1.80
2011-07-01,0.00
2011-08-01,0.00
2011-09-01,12.70
2011-10-01,91.40
2011-11-01,17.20
2011-12-01,93.10
2012-01-01,56.60
2012-02-01,100.60
2012-03-01,20.80
2012-04-01,19.90
2012-05-01,9.50
2012-06-01,0.00
2012-07-01,0.00
2012-08-01,0.00
2012-09-01,64.50
2012-10-01,89.70
2012-11-01,43.60
2012-12-01,112.70
2013-01-01,71.80
2013-02-01,86.70
2013-03-01,34.70
2013-04-01,19.50
2013-05-01,3.90
2013-06-01,7.00
2013-07-01,0.00
2013-08-01,0.00
2013-09-01,61.70
2013-10-01,79.00
2013-11-01,11.90
2013-12-01,28.20
2014-01-01,74.30
2014-02-01,60.70
2014-03-01,90.80
2014-04-01,17.40
2014-05-01,1.60
2014-06-01,7.60
2014-07-01,2.40
2014-08-01,0.00
2014-09-01,78.20
2014-10-01,94.00
2014-11-01,73.00
2014-12-01,97.30
2015-01-01,73.50
2015-02-01,204.00
2015-03-01,98.50
2015-04-01,8.50
2015-05-01,6.25
2015-06-01,9.50
2015-07-01,4.50
2015-08-01,25.00
2015-09-01,194.50
2015-10-01,113.00
2015-11-01,133.00
2015-12-01,14.00
2016-01-01,97.50
2016-02-01,38.50
2016-03-01,166.00
2016-04-01,4.50
2016-05-01,68.75
2016-06-01,53.00
2016-07-01,0.00
2016-08-01,7.00
2016-09-01,195.00
2016-10-01,228.00
2016-11-01,253.50
2016-12-01,43.00
2017-01-01,209.00
2017-02-01,21.50
2017-03-01,52.50
2017-04-01,13.00
2017-05-01,17.00
2017-06-01,3.50
2017-07-01,29.00
2017-08-01,0.00
2017-09-01,24.20
2017-10-01,27.00
2017-11-01,202.00
2017-12-01,152.00
